"","baseMean"
"GPFGEMDG_00363",49.6327596248342
"crr_1",40.0847136004495
"ldhB",37.3325289231621
"lrp",44.1392447171002
"purS",29.064008367275
"cinA",41.2344073368651
"puuD",24.2505340186486
"pstB3_1",23.2935126705658
"GPFGEMDG_01798",43.232617150646
"niaX",21.4556292135381
"GPFGEMDG_02562",20.9795875708407
"ldh",20.2087783488739
"tadA_2",20.0540175309507
"recR",27.8120959438476
"abfA_1",36.4628148780213
"GPFGEMDG_00237",18.8199241444306
"oppB",18.6656624711156
"hpaIIM",21.2896089214202
"GPFGEMDG_01802",18.268735627382
"dus_2",18.5920760809639
"GPFGEMDG_02087",16.8906017212959
"GPFGEMDG_01518",16.6520333594721
"sorA_2",16.4340989720717
"yvcJ",16.3517373713906
"GPFGEMDG_02620",21.3404699364108
"rimI_1",49.3244048089879
"GPFGEMDG_00680",14.6080879751749
"pspB_1",40.6681140021253
"pdp",35.0871091046808
"pheT_1",13.1122422317754
"ywnA",12.1734066459791
"dcuR",12.3255742290538
"GPFGEMDG_02544",39.8938208330981
"purQ",480.789941294898
"pyrF",251.816874110205
"GPFGEMDG_00044",200.872660838332
"mrp",164.749229334862
"msrA_2",134.217500412593
"pyrC",90.9198734891655
"gtaB_2",69.4254283482487
"mngR",80.2072210658974
"GPFGEMDG_00417",67.5404343892877
"yteT",52.9159332043733
"GPFGEMDG_01077",52.8270020433198
"metP_2",67.0840178887122
"GPFGEMDG_01671",63.4857819682882
"GPFGEMDG_01636",46.9534822100243
"GPFGEMDG_00606",47.2843273190493
"azoR",56.3844432544501
"fpgS",44.2697907551853
"ettA_1",43.7745904037623
"GPFGEMDG_00681",46.4860143120802
"purA",1920.91935517783
"GPFGEMDG_02359",37.3822751893084
"thiD",37.2308086106985
"manX_4",30.4344756696487
"GPFGEMDG_02298",28.4574321252163
"axe2",39.7574133762917
"GPFGEMDG_02579",27.609384818952
"treA",51.3366022031686
"iscS_2",26.0301593494965
"GPFGEMDG_02840",22.5489343753659
"nox_1",21.8832481807694
"rlmL",21.2364419899908
"bcr",29.0710975829052
"ctc",19.3964733658768
"purR_2",26.5095274135462
"dtpT_2",37.7784525457432
"ybhL",15.5695657469056
"lacC_2",33.2670691796498
"GPFGEMDG_01720",13.4186714881652
"cfiB_2",31.8056010725136
"GPFGEMDG_00194",33.6716833147905
"GPFGEMDG_02383",11.2611021519954
"pbuO",10.9935754217874
"pdhB",23.7484815146468
"GPFGEMDG_00406",10.0430604829327
"gatB_2",9.87274709216034
"glyA",24.1693404057014
"pyrDA",81.739048440767
"GPFGEMDG_01267",8.97788740140955
"GPFGEMDG_00982",30.4021428475211
"GPFGEMDG_02302",8.7301922467135
"agrB",13.318698956161
"rppH",35.0354791133321
"gla",8.52138465218534
"GPFGEMDG_02659",8.40685179313152
"GPFGEMDG_02826",40.8740941495567
"aroK",17.1495322610633
"ahpC",12.6976995692287
"purC",980.031902084631
"GPFGEMDG_01750",6.08670332298953
"mazE",6.08670332298953
"GPFGEMDG_01051",17.6379096984657
"phoR_2",5.62782272464025
"purD",953.036445822785
"purH",764.238687740513
"manZ_5",2918.27342343481
"efp",4.5745301359584
"dgaR_5",11491.0941573732
"fabF",33.82290285428
"cshB",5.41762262803298
"yxdL_1",3.49985441071898
"GPFGEMDG_00438",51.8235686469078
"guaB",1715.75683233239
"sorA_3",6663.9187049338
"carA",99.1533048055388
"polC_1",3.1729465910495
"lexA",4.19401259188317
"metG",3.04335166149476
"GPFGEMDG_01992",21.1047450715413
"addB",2.90068672213628
"GPFGEMDG_01601",2.89118407842003
"ysdC",15.1061950718329
"yclQ",62.2792799560845
"ptsI",301.535393792271
"GPFGEMDG_01598",12.6627784882038
"oatA",3.63560418758062
"ltaS1_2",13.864252864906
"ywlC",2.28251374612107
"carB",183.63289198155
"pyrK_1",815.449265736887
"purL",668.530375756565
"GPFGEMDG_02619",1.61670226790991
"zosA",1.52167583074738
"glnQ_1",72.4957784203785
"GPFGEMDG_01580",12.2978743178043
"GPFGEMDG_01301",76.3752989063928
"icaR",20.7616097331466
"rpoN1",407.205555989202
"proX_2",3.7898684358487
"yecD_1",479.546257735508
"GPFGEMDG_02850",113.209264884369
"GPFGEMDG_01942",14.2001687670564
"ugl_2",43.361062005107
"GPFGEMDG_01669",145.680541129009
"yxeP",78.2211454880555
"murA1_1",12.5618320904726
"mtlF_1",13.12147603565
"GPFGEMDG_00666",44.3628926501944
"GPFGEMDG_00771",32.1834218971926
"yjhB_3",58.4893566067808
"misCA",407.139043924877
"GPFGEMDG_01223",256.320712817058
"lacL",79.7565910341287
"gdpP",123.208038376102
"ybiT_1",12.2131496436746
"npr_2",64.9238575143057
"arlR_1",110.397726654298
"prs2",56.9279337380267
"gpmA_1",83.4516780332567
"rlmA",189.690804001214
"lacD2",80.7723980359401
"GPFGEMDG_01915",69.7465760248333
"mro_2",54.2215314686937
"ctpE_1",2.73128444400114
"ackA",24.1024631006953
"GPFGEMDG_00736",161.299311705063
"dinB_2",336.382786661813
"araC_3",53.0042153211635
"GPFGEMDG_01784",212.285000827443
"GPFGEMDG_00830",166.906542333558
"pezT",55.632108977918
"GPFGEMDG_00772",345.341134362322
"GPFGEMDG_02839",142.282781239305
"GPFGEMDG_00732",104.745412044307
"GPFGEMDG_01213",1.93335164942389
"hssR",234.051530207397
"GPFGEMDG_01510",89.5035821422815
"brnQ_1",972.413740061447
"ulaD",20.8786102220109
"GPFGEMDG_02047",74.3480655370432
"ydfK",125.112273381872
"feuC",278.111345979512
"mfd",225.522984313048
"GPFGEMDG_02828",92.1800011230909
"spxA_5",68.5411258897203
"dcuS_2",47.8237859310218
"sfsA",95.6465047198586
"mccF",169.779871195971
"bceB_1",129.000515598548
"ywpJ_2",157.251838823207
"mazF",125.431192529329
"rpsA",240.609714321958
"murF_1",18.9201935187222
"GPFGEMDG_01423",44.2676309191038
"GPFGEMDG_01339",96.4782701870965
"GPFGEMDG_02814",111.832089339514
"GPFGEMDG_01379",110.920610684955
"GPFGEMDG_00709",64.4854584405198
"ywqE",3.20353057723591
"yhdG",626.777332074203
"GPFGEMDG_02800",95.9757818081397
"bioY2",1376.52951616428
"ykoD",34.6271338116687
"czrA",493.341477214411
"rluD_1",84.0852623796372
"GPFGEMDG_01872",58.8569142948432
"feuB_1",57.8562889719338
"GPFGEMDG_01629",66.0815774793431
"GPFGEMDG_01989",161.906466985092
"pehX",27.4034938475928
"GPFGEMDG_01606",269.795214666993
"GPFGEMDG_00646",325.625866759839
"gpmA_2",161.46446461843
"sugE",161.008545704445
"GPFGEMDG_02856",46.5822306531397
"GPFGEMDG_00087",30.2139065512443
"glpO",335.055148984498
"GPFGEMDG_00751",69.490561339012
"aroF",122.392504571848
"msrR_2",104.158240376436
"betI",275.076049556262
"GPFGEMDG_02478",1051.72685906997
"GPFGEMDG_02557",437.846365378048
"gap_1",444.174505544936
"pnp",8.58688964171866
"GPFGEMDG_02460",66.5092385312442
"gbuB",600.894074073052
"nrdG",200.251015434421
"trmL",465.491251338133
"GPFGEMDG_02858",358.484053450895
"GPFGEMDG_00278",143.628731558504
"oppD_2",301.186958264638
"mprA",12.0253588448128
"GPFGEMDG_02080",55.7415201663695
"rsmI",393.197403889814
"pgl_2",39.462749620055
"menH_1",8.91646085482761
"GPFGEMDG_00190",86.6171740590497
"queT_1",109.557436868321
"ugl_1",464.370093822621
"GPFGEMDG_00286",239.365158656385
"fcbA1",1297.8588844597
"padC",704.720356571321
"epsN",66.4763385069604
"GPFGEMDG_00533",964.088982398799
"GPFGEMDG_01308",26.8482948356061
"GPFGEMDG_02530",26.1326736172999
"gshAB",252.199125790681
"GPFGEMDG_02771",465.27594644614
"GPFGEMDG_00910",148.326511807575
"rimI_2",74.2327372637014
"rodA",3.72795293550306
"GPFGEMDG_02870",285.067758291246
"GPFGEMDG_01555",210.252466847076
"mgtE",828.072011824999
"GPFGEMDG_00452",77.7241146835541
"gbpA",21.2938085698977
"GPFGEMDG_02352",136.871691977194
"cycA",226.721581697357
"znuA_1",85.5796746335203
"GPFGEMDG_02338",79.5024943226782
"artM_2",439.528489710662
"yifK",726.654034995721
"GPFGEMDG_02570",45.4139261288623
"gpsA_2",377.059796939825
"lgt",21.6486867481629
"GPFGEMDG_01346",8.92840709300012
"rihB",7.82324045233075
"glmU",5.6592724497578
"GPFGEMDG_01716",3.60415037423994
"GPFGEMDG_01582",3.47629915975234
"GPFGEMDG_02859",1220.85655267019
"GPFGEMDG_00195",843.234252887047
"gno",3.80327893414455
"araQ_3",158.91636662434
"GPFGEMDG_00174",1785.22739623327
"GPFGEMDG_01738",203.446078660195
"topB_1",663.840672727885
"cysM",210.957592619497
"agaC",136.160707919333
"yckB",751.979729651351
"pphA",2187.69927898072
"GPFGEMDG_01635",216.035060639742
"yoeB",467.768364252907
"glcR_2",3397.15714663065
"GPFGEMDG_00019",614.698471163148
"rbsD",174.406690569503
"pepC",161.560315236248
"aes_2",114.688095350981
"GPFGEMDG_02801",152.22217882206
"deoB",13.0885963824985
"rpsF",148.507200085626
"GPFGEMDG_02567",131.431671651279
"purB",782.615357438807
"rbbA",176.914995114001
"dcuS_1",48.1041581137908
"gadC_2",489.621420581965
"GPFGEMDG_00697",1112.88237984495
"GPFGEMDG_00871",579.880472226526
"GPFGEMDG_02660",52.6781174192192
"garK",5387.00874198577
"GPFGEMDG_02807",723.307348153186
"immR",867.044967504519
"pspB_3",100.797755250031
"cmpD",260.50652318216
"ulaA_2",311.43899089103
"GPFGEMDG_01362",52.4590161176407
"GPFGEMDG_00296",37.3755242213806
"yxdL_2",333.455473214881
"GPFGEMDG_00240",164.177029613904
"GPFGEMDG_02380",788.67055707762
"dppC",107.442864461669
"GPFGEMDG_01966",256.045821439505
"albF",4216.30579511711
"ecsA_2",155.51111270591
"yigZ",1455.8794638077
"mngA",58.8468350266521
"ubiE_1",195.809978902727
"uvrA",968.653861976689
"GPFGEMDG_00532",95.9888931604202
"GPFGEMDG_00180",1592.0903299924
"yciC",338.104003665836
"vraR",34.2706589063598
"GPFGEMDG_00171",28.7730431225095
"pglF",133.61346842134
"ybaK_1",123.030273806799
"GPFGEMDG_01691",2167.25024415949
"yidA_1",317.180615206688
"GPFGEMDG_00689",595.294935450739
"GPFGEMDG_02081",19.3307838609134
"chvE",1130.4202384929
"copB",223.33476665899
"GPFGEMDG_00957",64.3657134546171
"lepA",80.3634389682906
"GPFGEMDG_02718",153.179149909496
"yidA_2",26.3463461350387
"GPFGEMDG_01450",183.862289202598
"mltG",144.134142206644
"rsmA_2",193.254450343047
"GPFGEMDG_00860",60.4646898725552
"rbsK/rbiA",117.610887549551
"GPFGEMDG_00398",199.997774498422
"fruA_4",631.211228995425
"sorC_1",314.994865561128
"GPFGEMDG_00907",16.5912491351965
"GPFGEMDG_00996",578.742409322284
"mntB_1",139.327637986003
"citS",264.555317433952
"prkC",1584.80113452085
"rho",38.3045503059866
"arsC",119.83794193909
"pstS1_2",194.705220940604
"mro_1",515.294093685694
"tee6",2134.65188935101
"manR_1",2282.68841631792
"GPFGEMDG_02269",189.708858321769
"GPFGEMDG_02837",1213.25851410686
"GPFGEMDG_00970",1570.35289156959
"ssb_2",699.395547003218
"adaA",1070.64541541891
"GPFGEMDG_01977",152.322835262979
"afr_2",2142.3101399892
"GPFGEMDG_00636",214.828189205224
"ydcP_2",476.794868051448
"GPFGEMDG_00615",608.666904447153
"rex_2",1167.17137636575
"yknY_1",597.469261584057
"GPFGEMDG_00601",733.546727506626
"GPFGEMDG_02085",181.45225886214
"pbuG",24.1710565089223
"corA_1",1011.42005878621
"GPFGEMDG_02287",6392.91703097197
"mgtA",1650.18120548582
"GPFGEMDG_02781",194.657015549924
"GPFGEMDG_00169",1310.59862611721
"nirC",432.894338836082
"smc_1",1935.16706562154
"truA",31.1064560886073
"menH_2",912.530842734598
"GPFGEMDG_00056",313.459212646143
"natA_4",181.058980501624
"mscL",4792.32944680337
"yecS_2",1693.21043998422
"GPFGEMDG_00233",1344.71590930161
"yfmO_2",457.807502222556
"cna",951.096316987919
"rsmE",1371.06575656968
"arcB",117.808426520881
"GPFGEMDG_02498",654.890021370379
"aroC",32.1068820722842
"GPFGEMDG_00326",5890.08539660829
"glpK",1236.64098450197
"folT_1",652.366430981443
"apbE",733.396368005286
"bceA_2",20.5534712116893
"rpsN2_1",394.348251543806
"GPFGEMDG_00041",228.738688967533
"treR",2284.95298376777
"topB_2",1039.93646227722
"GPFGEMDG_01505",100.494743626222
"radA",2113.70817867811
"pox5",1102.12375511468
"GPFGEMDG_00535",80.7276905776603
"yecD_3",819.1429102113
"tqsA_2",1637.43601157622
"GPFGEMDG_01594",3058.73046656954
"GPFGEMDG_02101",12.6432226672714
"dapA",41.9932145168535
"GPFGEMDG_00987",216.214806154299
"GPFGEMDG_02051",110.636272623347
"GPFGEMDG_00599",21.3570369634465
"GPFGEMDG_02661",1525.70418199137
"opuCB",249.629781218572
"GPFGEMDG_00901",1837.95649315226
"araQ_1",20.860311932564
"GPFGEMDG_01053",485.600870515004
"nodM",427.31447177756
"GPFGEMDG_02277",1975.03364027684
"ahpF",2210.79305793256
"yteP_1",796.20968236843
"alaA",397.072205153349
"GPFGEMDG_00131",1764.97254667022
"GPFGEMDG_01912",712.89974851443
"hmpT",255.150308752398
"ddc",674.565847005301
"ntpJ_2",1281.35474659947
"GPFGEMDG_01012",41.4692072378753
"yjbK",1174.87564235698
"araQ_5",197.549089627152
"GPFGEMDG_01016",909.652821510043
"GPFGEMDG_02853",37.764821149181
"GPFGEMDG_01054",1284.94378982009
"csbC",2244.10138639738
"pcp",247.574396533761
"GPFGEMDG_00693",2381.32681806405
"GPFGEMDG_01956",294.866643578671
"GPFGEMDG_02275",290.643764926949
"tqsA_4",515.243315471741
"GPFGEMDG_01913",577.265895034044
"GPFGEMDG_00634",471.795321806674
"soxS",276.865492982929
"clsA_1",27.4467061833076
"ftsW_2",1819.00470199484
"rny_2",623.976537947912
"hmo",50.4854093415023
"fieF",57.6833076459135
"GPFGEMDG_01000",287.425375741896
"hrtA_2",129.078182516337
"arcD1_1",1275.07852558674
"pyrG",3630.4613677874
"mnmG_2",1046.3480306428
"lsrC_2",1146.18123775638
"GPFGEMDG_00420",39.8853615030979
"GPFGEMDG_00378",5527.3625854273
"prmC_2",53.6285678827748
"GPFGEMDG_02726",427.331175799347
"glnM_2",79.0310854658517
"phnX_2",129.944186743794
"lrpC",273.566477868763
"ywpJ_1",440.21905010775
"GPFGEMDG_00364",184.539850991437
"irtA",3179.19063187386
"gmuE_1",1338.49549566977
"kduI1",2876.1317258813
"GPFGEMDG_01890",475.486727874113
"GPFGEMDG_00694",4207.06941880782
"pepF1_2",911.228342800017
"GPFGEMDG_02286",112.191499674308
"GPFGEMDG_00754",546.438997254527
"GPFGEMDG_00572",906.535489546183
"sstT",2971.11619436307
"kdgA",624.504232789889
"prmA",428.600774682927
"GPFGEMDG_00661",123.653535043467
"fruA_5",742.336187170764
"GPFGEMDG_00855",5825.53905159085
"GPFGEMDG_01552",123.484475536829
"ftsK_2",304.726459948291
"mutS_1",2642.07905953875
"lon",1638.50852684631
"manZ_6",2764.69758498869
"msrC",61.8468731783225
"xylH",805.485457466383
"sugC",566.493985847977
"leuS",124.97216530781
"clpB",12.0861693647867
"GPFGEMDG_00994",285.088786991581
"metQ_2",473.402920825997
"GPFGEMDG_00471",2074.79936261465
"GPFGEMDG_02303",990.833069060232
"ypwA",267.3869706454
"uvrB",455.347210716624
"GPFGEMDG_00844",9153.99147733183
"lspA",49.7239540739036
"GPFGEMDG_01291",1405.89384504191
"GPFGEMDG_02033",3587.47980628387
"xylB_1",679.8059521609
"gsiC",372.757261675745
"licR_1",2120.57713222024
"araB",140.06338902214
"GPFGEMDG_02490",978.083357490647
"GPFGEMDG_00260",699.804249472288
"GPFGEMDG_00822",6674.05926819912
"gmuE_2",1552.96887266299
"GPFGEMDG_01304",387.426712422827
"rsmF",2410.0141755485
"GPFGEMDG_01976",765.58650488517
"trmFO",245.578005999769
"GPFGEMDG_02733",2143.63483222937
"aldC",241.407781785338
"dprA",2571.59785962873
"yehU_1",912.903578557348
"GPFGEMDG_00379",330.186514605715
"yccF",471.167808618659
"GPFGEMDG_00129",316.630050399234
"GPFGEMDG_01916",1333.05051742159
"degA_3",152.807841061743
"potA_1",20.5419766626177
"GPFGEMDG_02024",717.308977925557
"GPFGEMDG_00277",2374.3317271469
"thiY",216.810565189756
"GPFGEMDG_02704",235.487504794119
"pgsA1",519.438132767722
"GPFGEMDG_00853",202.174326809087
"yjmB",3297.33950147893
"rhaA",1487.46539746862
"Int-Tn_2",1155.56137720106
"deoC",18.8964503336123
"GPFGEMDG_00262",2419.33360425643
"hepT",2362.97187880359
"mtlA_1",52.7681465326022
"GPFGEMDG_01524",3646.11565477096
"yjcD",4647.64022261696
"GPFGEMDG_01040",365.782492075439
"manX_1",1848.22557912001
"GPFGEMDG_00958",119.932962525166
"GPFGEMDG_02539",526.162256555719
"gatC_1",1090.07764974361
"GPFGEMDG_00043",641.127936705535
"znuC_2",446.47926609836
"GPFGEMDG_02536",227.371442874279
"GPFGEMDG_01514",34.8348981538224
"GPFGEMDG_00029",530.867404365672
"nupC",304.938054805104
"manZ_1",3072.43093627908
"agaSK_2",2162.58569378723
"GPFGEMDG_02634",2319.59411078488
"GPFGEMDG_02084",5189.92844934082
"mutS_2",1971.29708226058
"GPFGEMDG_00465",8451.61972725885
"metE",37.1010243003908
"fldH_1",423.822160267335
"celA_1",193.496240548443
"ribX",603.083426091566
"nagE",1419.05784414025
"GPFGEMDG_01270",45.5589464670213
"GPFGEMDG_02413",912.256412943194
"rifL",1371.21438266472
